asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B06XPHR7DF,"Lansinoh Stay Dry Disposable Nursing Pads, Soft and Super Absorbent Breast Pads, Breastfeeding Essentials for Moms, 200 Count",https://m.media-amazon.com/images/I/71e0wNZ3ZQL._AC_UL320_.jpg,https://www.amazon.com/dp/B06XPHR7DF,4.8,0,19.89,23.39,129,True,10000
B01BDQDIJ4,"Munchkin® Arm & Hammer Puck Baking Soda Cartridge, Lavender Scent",https://m.media-amazon.com/images/I/71atN-1H6iL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BDQDIJ4,4.5,0,4.48,6.29,129,False,10000
B00ZT38BIQ,"Ubbi Disposable Diaper Pail Plastic Bags, Value Pack, 75 Count, 13-Gallon Bags",https://m.media-amazon.com/images/I/81UDWgUNV5L._AC_UL320_.jpg,https://www.amazon.com/dp/B00ZT38BIQ,4.9,0,19.99,0.0,129,False,10000
B09HY9P5HW,"Luvs Diapers Size 5, 172 count - Disposable Diapers",https://m.media-amazon.com/images/I/6108NQSIhdL._AC_UL320_.jpg,https://www.amazon.com/dp/B09HY9P5HW,4.6,0,39.94,0.0,129,False,10000
B01IZ5F6T6,"Pampers Pure Protection Diapers Size 5, 132 count - Disposable Diapers",https://m.media-amazon.com/images/I/61ZMDwA4xzL._AC_UL320_.jpg,https://www.amazon.com/dp/B01IZ5F6T6,4.8,0,65.47,0.0,129,False,8000
B07K2TKK26,"Ubbi Disposable Diaper Sacks, Lavender Scented, Easy-To-Tie Tabs, Diaper Disposal or Pet Waste Bags, 200 Count",https://m.media-amazon.com/images/I/61K8sYPwOAL._AC_UL320_.jpg,https://www.amazon.com/dp/B07K2TKK26,4.7,0,7.99,0.0,129,False,9000
B08VLB4NVP,"Pampers Cruisers 360 Diapers Size 7, 88 count - Disposable Diapers",https://m.media-amazon.com/images/I/71Ya1ohTWkL._AC_UL320_.jpg,https://www.amazon.com/dp/B08VLB4NVP,4.8,0,55.94,0.0,129,False,7000
B08YKVJTDH,"WaterWipes Plastic-Free Textured Clean, Toddler & Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 720 Count (12 packs), Packaging May Vary",https://m.media-amazon.com/images/I/61Qfq8egg1L._AC_UL320_.jpg,https://www.amazon.com/dp/B08YKVJTDH,4.7,0,38.23,45.99,129,False,9000
B00BH0QPUG,DEKOR Plus Diaper Pail Refills | 4 Count | Most Economical Refill System | Quick & Easy to Replace | No Preset Bag Size – Use Only What You Need | Exclusive End-of-Liner Marking | Baby Powder Scent,https://m.media-amazon.com/images/I/61Js24T0evL._AC_UL320_.jpg,https://www.amazon.com/dp/B00BH0QPUG,4.8,0,26.99,29.95,129,False,5000
B073CP9NJS,"Compatible with Diaper Genie Pails, 8-Pack, 2160 count",https://m.media-amazon.com/images/I/712cxGkl3RL._AC_UL320_.jpg,https://www.amazon.com/dp/B073CP9NJS,4.7,0,23.99,0.0,129,True,6000
B0795WF49L,"Pampers Splashers Swim Diapers Size M, 18 Count",https://m.media-amazon.com/images/I/81YxnKcfdZL._AC_UL320_.jpg,https://www.amazon.com/dp/B0795WF49L,4.8,0,9.94,0.0,129,False,7000
B08871T9QP,Pampers Ninjamas Nighttime Bedwetting Underwear Girls S/M (38-65 lbs) 44 Count,https://m.media-amazon.com/images/I/8157wqqmi8L._AC_UL320_.jpg,https://www.amazon.com/dp/B08871T9QP,4.6,0,27.96,0.0,129,False,5000
B07SYCRDR8,"Amazon Brand - Mama Bear Gentle Touch Diapers, Hypoallergenic, Size 7, 80 Count (4 packs of 20), White",https://m.media-amazon.com/images/I/71EyJUbadqL._AC_UL320_.jpg,https://www.amazon.com/dp/B07SYCRDR8,4.3,0,27.05,31.82,129,False,4000
B01DQID0N6,Diaper Genie Carbon Filter (4-Pack) | Diaper Pail Odor Eliminator & Deodorizer | Compatible with the Diaper Genie Complete and Expressions Pail,https://m.media-amazon.com/images/I/619FeKlzhRL._AC_UL320_.jpg,https://www.amazon.com/dp/B01DQID0N6,4.5,0,7.11,0.0,129,False,4000
B08KKVMNMJ,"Colgate Kids Battery Powered Toothbrush, Unicorn, Extra Soft Toothbrush, Ages 3 and Up, 1 Pack",https://m.media-amazon.com/images/I/71diTLLX3dL._AC_UL320_.jpg,https://www.amazon.com/dp/B08KKVMNMJ,4.7,0,4.98,5.99,129,True,4000
B01NBNG19Y,"The Honest Company Clean Conscious Overnight Diapers | Plant-Based, Sustainable | Sleepy Sheep | Club Box, Size 6 (35+ lbs), 42 Count",https://m.media-amazon.com/images/I/61JYwhiDWiL._AC_UL320_.jpg,https://www.amazon.com/dp/B01NBNG19Y,4.4,0,29.97,0.0,129,False,4000
B097NRRRNT,"Johnson's Baby Skin Nourishing Moisture Baby Body Wash With Vanilla & Oat Scents, Hypoallergenic & Tear Free Baby Bath Wash, Paraben-, Dye-, Sulfate & Phthalate-Free, 20.3 fl. oz",https://m.media-amazon.com/images/I/615B93KB7-L._AC_UL320_.jpg,https://www.amazon.com/dp/B097NRRRNT,4.7,0,6.28,0.0,129,False,4000
B0B81LSL6Q,"Corner Shower Caddy, 2 Pack Adhesive Shower Corner Organizer Shelves, No Drilling Stainless Steel Shower Storage Rack with Hooks&Toothpaste Holder for Bathroom, Dorm and Kitchen",https://m.media-amazon.com/images/I/71qo5eAZRdL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B81LSL6Q,4.7,0,19.99,0.0,163,False,10000
B09LYGMTVX,"Shower Curtain Hooks Rings, Rust-Resistant for Bathroom Shower Rods Shower Hooks - Set of 12, Chrome",https://m.media-amazon.com/images/I/61KWmht+ltL._AC_UL320_.jpg,https://www.amazon.com/dp/B09LYGMTVX,4.5,0,3.99,9.99,163,False,8000
B09C67QZ2D,"SONORO KATE Bathroom Rug 32""×20"", Non-Slip Bath Mat, Soft Cozy Shaggy Durable Thick Chenille Bath Rugs for Bathroom,Easier to Dry, Plush Rugs for Bathtubs, Rain Showers and Under The Sink (Dark Grey)",https://m.media-amazon.com/images/I/81TAObJVrBL._AC_UL320_.jpg,https://www.amazon.com/dp/B09C67QZ2D,4.6,0,14.99,0.0,163,False,7000
B07L28V39Q,"INEVIFIT Bathroom Scale, Highly Accurate Digital Bathroom Body Scale, Measures Weight up to 400 lbs. Includes Batteries",https://m.media-amazon.com/images/I/71ibxVZi9BL._AC_UL320_.jpg,https://www.amazon.com/dp/B07L28V39Q,4.8,0,44.99,0.0,163,False,9000
B07Q8Y8GWN,"JASAI 18 Oz Clear Glass Soap Dispenser with Rust Proof Stainless Steel Pump, Refillable Liquid Hand Soap Dispenser for Bathroom, Premium Kitchen Soap Dispenser (Clear).",https://m.media-amazon.com/images/I/61S4zvDangL._AC_UL320_.jpg,https://www.amazon.com/dp/B07Q8Y8GWN,4.6,0,8.99,17.99,163,False,5000
B07TXBPBF4,"smiry Luxury Chenille Bath Rug, Extra Soft and Absorbent Shaggy Bathroom Mat Rugs, Machine Washable, Non-Slip Plush Carpet Runner for Tub, Shower, and Bath Room(24''x16'', Black)",https://m.media-amazon.com/images/I/81Y8HSYNloL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TXBPBF4,4.5,0,8.99,11.99,163,False,6000
B08FWQBQS5,"Matte Black Toilet Paper Holder SUS304 Stainless Steel, Modern Round Tissue Roll Holders Wall Mount, Toilet Paper Roll Dispenser Bathroom 5 inch TP Holder for Kitchen Washroom",https://m.media-amazon.com/images/I/51OWLzGEfAL._AC_UL320_.jpg,https://www.amazon.com/dp/B08FWQBQS5,4.6,0,9.99,0.0,163,False,5000
B004ZLAGJK,OXO Good Grips Soap Dispensing Palm Brush Storage Set,https://m.media-amazon.com/images/I/71ixBEDC2HL._AC_UL320_.jpg,https://www.amazon.com/dp/B004ZLAGJK,4.7,0,11.99,0.0,163,False,5000
B07VN49QF5,"Utopia Towels - Luxurious Jumbo Bath Sheet 2 Piece - 600 GSM 100% Ring Spun Cotton Highly Absorbent and Quick Dry Extra Large Bath Towel - Super Soft Hotel Quality Towel (35 x 70 Inches, Grey)",https://m.media-amazon.com/images/I/A1WIbLZAWdL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VN49QF5,4.5,0,29.99,39.99,163,False,4000
